"source_id","nombre","categoria","marca","modelo","descripcion","precio","stock","imagen_url","activo"
"ZT-INV-A3314B72A734DD405849","CARGADOR MOVISUN C-C MS-25C 25W","MOVISUN","","","","55000","7","","1"
"ZT-INV-20E49D72AE08F5DAFB51","CARGADOR MOVISUN C-LIGHTNING","MOVISUN","","","","50000","7","","1"
"ZT-INV-173A78565AEC1ECDC89F","CARGADOR MOVISUN M-67U 67W","MOVISUN","","","","85000","3","","1"
"ZT-INV-9C9565A675F3A1518931","CARGADOR MOVISUN USB-C","MOVISUN","","","","35000","10","","1"
"ZT-INV-EA129BBF77B076BAC44B","CARGADOR MOVISUN USB-C 2.4 MC-50","MOVISUN","","","","25000","7","","1"
"ZT-INV-023D7C04E4D34809124D","CARGADOR MOVISUN USB-IPH 2.4 MC-50","CARGADORES","","","","25000","10","","1"
"ZT-INV-0F1BFEA72B6356B15C7D","CARGADOR ORIGINAL UGREEN NEGRO","CARGADORES","","","","130000","0","","1"
"ZT-INV-6A0D7A2188AD844D86FA","CARGADOR ORIGINAL UGREEN VERDE","CARGADORES","","","","130000","2","","1"
"ZT-INV-8FD2342EF7CBEA941AD5","CARGADOR PILA RECARGABLE","ACCESORIOS","","","","70000","2","","1"
"ZT-INV-49C1415D7A00821781EF","CARGADOR SMART","CARGADORES","","","","30000","1","","1"
"ZT-INV-2E6F978D4818BA04FB07","CARGADOR SMART WATCH","CARGADORES","","","","35000","1","","1"
"ZT-INV-1B90643BD12A212B6F33","CARGADOR SMART WATCH ORIGINAL","ACCESORIOS","","","","70000","1","","1"
"ZT-INV-2EBD04417E07AFFBDDE4","CARGADOR VIDV C-C PL382","VIDVIE","","","","55000","4","","1"
"ZT-INV-B585B821AA27DADD8C51","CARGADOR VIDVIE 280W","VIDVIE","","","","160000","2","","1"
"ZT-INV-B36237BA922B05C3884E","CARGADOR VIDVIE C C CORE 35W","EPIK","","","","75000","4","","1"
"ZT-INV-7DAA4A9526D6C66ECEEE","CARGADOR VIDVIE C-C 30W A16","VIDVIE","","","","55000","5","","1"
"ZT-INV-59E6B6E94EAA88E63627","CARGADOR VIDVIE C-C 60W PLM388","VIDVIE","","","","98000","2","","1"
