source_id,nombre,categoria,marca,modelo,descripcion,precio,stock,imagen_url,activo
PREVIEW-2E6B3AE8A96549B6,CABLE VGA 1.5,INTERNET,,,,20000,0,,1
PREVIEW-58E0F68EC70FD580,CABLE VIDVIE 60W 2MTS 4038,VIDVIE,,,,30000,6,,1
PREVIEW-82B20ADA0920D969,CABLE VIDVIE C-C 100W B4013,VIDVIE,,,,30000,10,,1
PREVIEW-1865BE45E70CEE88,CABLE VIDVIE C-C 60W 4031 BL,VIDVIE,,,,25000,8,,1
PREVIEW-0CC2AA32E30E1190,CABLE VIDVIE C-C 60W 4031 N,VIDVIE,,,,25000,2,,1
PREVIEW-FAC24C764291C601,CABLE VIDVIE C-C 60W B04T,VIDVIE,,,,25000,12,,1
PREVIEW-D5302E29BEA6F07A,CABLE VIDVIE C-C 60W B08,VIDVIE,,,,25000,8,,1
PREVIEW-A5A7089CC9812BA9,CABLE VIDVIE C-C B09,VIDVIE,,,,25000,9,,1
PREVIEW-78E66B164DFE3203,CABLE VIDVIE C-IP 30W 4031,VIDVIE,,,,25000,8,,1
PREVIEW-F9629F3F7F7CEE8A,CABLE VIDVIE C-IP 30W CB4013,VIDVIE,,,,30000,6,,1
,CABLE VIDVIE USB C 4024T,VIDVIE,,,,30000,2,,1
,CABLE VIDVIE USB-C 4024T,VIDVIE,,,,30000,1,,1
PREVIEW-F9EB3B7D28FCF7B7,CABLE VIDVIE USB-C B03T,VIDVIE,,,,20000,10,,1
PREVIEW-223F06EB36E6F4D3,CABLE VIDVIE USB-C BT10,VIDVIE,,,,20000,9,,1
PREVIEW-2029D258C9011A20,CABLE VIDVIE USB-IP B11,VIDVIE,,,,20000,8,,1
PREVIEW-875ED7975402033E,CABLE VIDVIE USB-V8,VIDVIE,,,,15000,8,,1
PREVIEW-3487F0C469B0E30C,CAMARA EPIK PIXIO,EPIK,,,,120000,6,,1
PREVIEW-1148C00ADDB7ECC9,CAMARA WEB 1080 CAJA CAFE,ACCESORIOS,,,,75000,4,,1
PREVIEW-27BF709869258A04,CAR CARRO VIDVIE 20W C522,VIDVIE,,,,55000,0,,1
PREVIEW-44A815E2190FAE43,CAR CARRO VIDVIE 30W C04,VIDVIE,,,,38000,0,,1
PREVIEW-C82D1F6148BFAA5D,CAR CARRO VIDVIE 30W C531,VIDVIE,,,,55000,0,,1
PREVIEW-BA624A1C11CB40ED,CAR CARRO VIDVIE USB-IP 528,VIDVIE,,,,20000,4,,1
PREVIEW-D822CC4205DAC18B,CARGADOR ASPOR  C A IPH,CARGADORES,,,,50000,4,,1
PREVIEW-223B9209E4C60E42,CARGADOR CARRO EPIK FMOTION,EPIK,,,,45000,3,,1
PREVIEW-FF64ED0568C63E4F,CARGADOR CARRO MOVISUN C-C 25W CM-20,MOVISUN,,,,48000,5,,1
PREVIEW-E9ED95011D9171CD,CARGADOR EPIK 20 C A C,EPIK,,,,40000,3,,1
PREVIEW-07397610F50B9656,CARGADOR EPIK 20W C A LIGHTIHING,EPIK,,,,40000,12,,1
PREVIEW-C717C254F1A901EF,CARGADOR EPIK C C 45W,EPIK,,,,95000,3,,1
PREVIEW-3646EB63CDE6F707,CARGADOR MAGNETIC VIDVIE 3W C1411,VIDVIE,,,,45000,1,,1
PREVIEW-26583BF78EFA567A,CARGADOR MOVISUN C-C 25W MPD88,MOVISUN,,,,50000,12,,1
PREVIEW-2C69CDCEED70F7FB,CARGADOR MOVISUN C-C 33W M-33UC,MOVISUN,,,,65000,6,,1
PREVIEW-C3A5B19DA9AE4FE5,CARGADOR MOVISUN C-C 35W MPD35,MOVISUN,,,,65000,5,,1
PREVIEW-924A2C48008CE071,CARGADOR MOVISUN C-C MIP-60 60W,MOVISUN,,,,85000,5,,1
PREVIEW-9213153EF6466B11,CARGADOR MOVISUN C-C MS 45C,MOVISUN,,,,75000,5,,1
PREVIEW-1FD99B160D5EA08E,CARGADOR MOVISUN C-C MS-25C 25W,MOVISUN,,,,55000,7,,1
PREVIEW-4FA1938FF494F0A0,CARGADOR MOVISUN C-LIGHTNING,MOVISUN,,,,50000,7,,1
PREVIEW-B8969D0A29EF78FC,CARGADOR MOVISUN M-67U 67W,MOVISUN,,,,85000,3,,1
PREVIEW-20B43FCA6489EF1E,CARGADOR MOVISUN USB-C,MOVISUN,,,,35000,10,,1
PREVIEW-199F80EA7104273D,CARGADOR MOVISUN USB-C 2.4 MC-50,MOVISUN,,,,25000,7,,1
PREVIEW-B779E3BFFAC471A3,CARGADOR MOVISUN USB-IPH 2.4 MC-50,PENDIENTE_REVISION,,,,25000,10,,1
PREVIEW-7849829D6A84F8D8,CARGADOR ORIGINAL UGREEN NEGRO,CARGADORES,,,,130000,0,,1
PREVIEW-A9F6F4DA08A78A6F,CARGADOR ORIGINAL UGREEN VERDE,CARGADORES,,,,130000,2,,1
PREVIEW-21521B15913FD9AF,CARGADOR PILA RECARGABLE,ACCESORIOS,,,,70000,2,,1
PREVIEW-B4260A5D986FAC95,CARGADOR SMART,CARGADORES,,,,30000,1,,1
PREVIEW-C91F64F434CED8F3,CARGADOR SMART WATCH,CARGADORES,,,,35000,1,,1
PREVIEW-E64841C1D7AB8941,CARGADOR SMART WATCH ORIGINAL,ACCESORIOS,,,,70000,1,,1
PREVIEW-EF7175AB81190FB2,CARGADOR VIDV C-C PL382,VIDVIE,,,,55000,4,,1
PREVIEW-0E2782D4825E1C4F,CARGADOR VIDVIE 280W,VIDVIE,,,,160000,2,,1
PREVIEW-6BE8E86BC7FC985F,CARGADOR VIDVIE C C CORE 35W,EPIK,,,,75000,4,,1
PREVIEW-2FE75F986DD2CE1F,CARGADOR VIDVIE C-C 30W A16,VIDVIE,,,,55000,5,,1
PREVIEW-94F060F523205E70,CARGADOR VIDVIE C-C 60W PLM388,VIDVIE,,,,98000,2,,1
PREVIEW-43C1DDFAA731BBBE,CARGADOR VIDVIE C-IP 30W A16,VIDVIE,,,,55000,5,,1
PREVIEW-AA594769B1E847E8,CARGADOR XIAOMI 120W,XIAOMI,,,,150000,1,,1
PREVIEW-8E6178ACF7D3E276,COMBO TECLADO F92,JEDEL,,,,85000,1,,1
PREVIEW-16BEEBAE452E3D1B,COMBO TECLADO JEDEL G10,JEDEL,,,,45000,3,,1
PREVIEW-3F9300F4F4AC8DEF,COMBO TECLADO JEDEL WS732,JEDEL,,,,85000,1,,1
PREVIEW-68F7EB228D5D1950,COMBO TECLADO JEDEL WS737,JEDEL,,,,120000,2,,1
PREVIEW-5B8A72E6F954393E,COMBO TECLADO JEDEL WS739,JEDEL,,,,120000,1,,1
PREVIEW-A7D25138ED0622D7,COMBO TECLADO JEDEL WS750,JEDEL,,,,110000,0,,1
PREVIEW-AA6522FC510E4D1E,COMBO TECLADO K06,JEDEL,,,,65000,0,,1
PREVIEW-1457F145180F57E5,COMBO TECLADO WEIBO WB-218B,TECLADOS,,,,155000,0,,1
PREVIEW-5F87BC69B6B229B7,CONTROL EPIK ELITE,CONTROLES,,,,150000,1,,1
PREVIEW-56A58A946C154361,CONTROL PLAY 5 NEGRO,CONTROLES,,,CONTROL PLAY 5 ORIGINAL,320000,1,,1
PREVIEW-FFCF1286D99CFD4F,CONTROL SCORPIO VSG,CONTROLES,,,,85000,1,,1
PREVIEW-71FFD89154722429,CONTROL SONY PS3,CONTROLES,,,,75000,2,,1
PREVIEW-322C77A55817D18C,CONTROL X3,CONTROLES,,,,75000,1,,1
PREVIEW-86128F78F435E084,CONTROL XBOX,CONTROLES,,,CONTROL XBOX SERIES,320000,1,,1
PREVIEW-6A7698585C2F0EDA,CONTROL XBOX 360 BLANCO,CONTROLES,,,,75000,1,,1
PREVIEW-E23446FDD6B47DB7,CONTROL XBOX 360 NEGRO,CONTROLES,,,,75000,1,,1
PREVIEW-D3256DFD613B3C63,CUELLERA BLUETOOTH EPIK NECK BAND,EPIK,,,,95000,1,,1
PREVIEW-6AE8BAB8DCD78388,CUELLERA BLUETOOTH EPIK SPORT BONDS,EPIK,,,,105000,2,,1
PREVIEW-C979E45DCD34A371,CUELLERA BLUETOOTH MOVISUN S8,MOVISUN,,,,85000,5,,1
PREVIEW-6B6EB87452D74176,CUELLERA MOVISUN OSOM LITE,MOVISUN,,,,125000,0,,1
PREVIEW-D5B83E4147A861EF,DIADEMA EPIK HEADSET LYRA,EPIK,,,,85000,4,,1
PREVIEW-64A06F0F2B802E75,DIADEMA FANTECH HG22 FUSION,EPIK,,,,200000,1,,1
PREVIEW-4E019F1EE6399698,DIADEMA GAMER JEDEL GH269,JEDEL,,,,120000,1,,1
PREVIEW-6A01DA2442FBB1AA,DIADEMA GAMER JEDEL GH559,JEDEL,,,,120000,1,,1
PREVIEW-D5B50C2E515F8225,DIADEMA GAMER JEDEL GH560,JEDEL,,,,165000,1,,1
PREVIEW-7E6A742260BE59E0,DIADEMA GAMER JEDEL GH562,JEDEL,,,,165000,1,,1
PREVIEW-F280707CDF54FC13,DIADEMA GAMER JEDEL GH563,JEDEL,,,,120000,1,,1
PREVIEW-067AE60F50353C8E,DIADEMA GAMER MOVISUN KG 300,MOVISUN,,,,175000,1,,1
PREVIEW-8E3D4F6D2B597090,DIADEMA GAMER MOVISUN KG-100,MOVISUN,,,,120000,5,,1
PREVIEW-4AF211B98829F901,DIADEMA GAMER ONIKUMA B100,JEDEL,,,,110000,1,,1
PREVIEW-8F520A9658424F4F,DIADEMA GAMER ONIKUMA B90,JEDEL,,,,95000,0,,1
PREVIEW-B56447C890A4A878,DIADEMA GAMER RGB G606,JEDEL,,,,95000,1,,1
PREVIEW-B18E3F239E8B66E9,DIADEMA JBL 530BT,JBL,,,,185000,0,,1
PREVIEW-F742213805CAF11F,DIADEMA JBL TUNE 730BT,JBL,,,,220000,0,,1
PREVIEW-63C63A45767245B0,DIADEMA JEDEL GAMER GH580,JEDEL,,,,165000,1,,1
PREVIEW-EEDF07B3DE63FA3B,DIADEMA MOVISUN K20 AZUL,MOVISUN,,,,120000,4,,1
PREVIEW-75C076E9F6716E62,DIADEMA MOVISUN K20 NEGRO,MOVISUN,,,,120000,4,,1
PREVIEW-8722F42E8547FBBC,DIADEMA MOVISUN K20 VERDE,MOVISUN,,,,120000,4,,1
PREVIEW-A5F8A4050F021962,DIADEMA MOVISUN K22 AZUL,MOVISUN,,,,135000,1,,1
PREVIEW-372D0A3F6A89CD31,DIADEMA MOVISUN K22 GRIS,MOVISUN,,,,135000,1,,1
PREVIEW-9BDAEFF6E9AF3095,DIADEMA MOVISUN K60 AZUL,MOVISUN,,,,155000,1,,1
PREVIEW-7A923750118C92B8,DIADEMA MOVISUN K60 NEGRO,MOVISUN,,,,155000,1,,1
PREVIEW-931839B4F30159AC,DIADEMA MOVISUN K60 PLATA,MOVISUN,,,,155000,1,,1
PREVIEW-0CD5206210D4FE3D,DIADEMA MOVISUN K80,MOVISUN,,,,175000,2,,1
PREVIEW-9D2FB4F31C159E10,DIADEMA SONY,DIADEMAS,,,,95000,2,,1
PREVIEW-096B5AE06824938F,DIADEMA SONY WH CH520,DIADEMAS,,,,195000,0,,1
PREVIEW-B102D60772CFEC0B,DIADEMA VIDVIE BBH2109,VIDVIE,,,,150000,1,,1
PREVIEW-AE4154D7EE76E05D,DIADEMA VIDVIE BBH2111,VIDVIE,,,,155000,1,,1
PREVIEW-1B8CACC1CA843288,DIADEMA VIDVIE BBH2114,VIDVIE,,,,185000,1,,1
PREVIEW-46B7B45B89EA7A7E,DIADEMA VIDVIE QW16,VIDVIE,,,,110000,2,,1
PREVIEW-242C94C1CF44A11E,DIADEMAR GAMER QUANTUM JBL 100P,JBL,,,,240000,0,,1
PREVIEW-1F070F376B7AB3BC,DISCO EXTRAIBLE 1 TERA,DISCOS,,,,280000,1,,1
PREVIEW-A6C7BF39FDAA8DC1,ECHO DOT AMAZON,ACCESORIOS,,,,260000,1,,1
PREVIEW-814D0C7AFE83F9A5,ESTUCHE AIRPODS,FORROS,,,,20000,15,,1
PREVIEW-B82028CA74C157C1,ESTUCHE DISENO AIRPODS,FORROS,,,,25000,47,,1
PREVIEW-6C76A1BE902A1BE8,ESTUCHE DISEÑO CARGADOR APPLE,FORROS,,,,25000,10,,1
PREVIEW-8AC45714475EED3B,ESTUCHE EPIK AIRPODS,EPIK,,,,25000,16,,1
PREVIEW-89B5E03947B65420,"ESTUCHE EPIK LAPTOP 13""",EPIK,,,,65000,3,,1
PREVIEW-7A8A42E4462EE19A,"ESTUCHE EPIK LAPTOP 14""",EPIK,,,,65000,3,,1
PREVIEW-4B8AC10BFEA28238,ESTUCHE EPIK MACBOOK AIR 15,EPIK,,,,55000,1,,1
PREVIEW-4C4F7FF8ABC84267,ESTUCHE EPIK MACBOOK AIR14.6,EPIK,,,,55000,1,,1
